pedestrianId simTime targetId-PID5
1 0.0 7
2 0.0 7
3 0.0 7
4 0.0 7
5 0.0 7
6 0.0 7
7 0.0 7
8 0.0 7
9 0.0 7
10 0.0 7
11 0.0 7
12 0.0 7
13 0.0 7
14 0.0 7
15 0.0 7
16 0.0 7
17 0.0 7
18 0.0 7
19 0.0 7
20 0.0 7
21 0.0 7
22 0.0 7
23 0.0 7
24 0.0 7
25 0.0 7
26 0.0 7
27 0.0 7
28 0.0 7
29 0.0 7
30 0.0 7
31 0.0 7
32 0.0 7
33 0.0 7
34 0.0 7
35 0.0 7
36 0.0 7
37 0.0 7
38 0.0 7
39 0.0 7
40 0.0 7
41 0.0 7
42 0.0 7
43 0.0 7
44 0.0 7
45 0.0 7
46 0.0 7
47 0.0 7
48 0.0 7
49 0.0 7
50 0.0 7
51 0.0 7
52 0.0 7
53 0.0 7
54 0.0 7
55 0.0 7
56 0.0 7
57 0.0 7
58 0.0 7
59 0.0 7
60 0.0 7
61 0.0 7
62 0.0 7
63 0.0 7
64 0.0 7
65 0.0 7
66 0.0 7
67 0.0 7
68 0.0 7
69 0.0 7
70 0.0 7
71 0.0 7
72 0.0 7
73 0.0 7
74 0.0 7
75 0.0 7
76 0.0 7
77 0.0 7
78 0.0 7
79 0.0 7
80 0.0 7
81 0.0 7
82 0.0 7
83 0.0 7
84 0.0 7
85 0.0 7
86 0.0 7
87 0.0 7
88 0.0 7
89 0.0 7
90 0.0 7
91 0.0 7
92 0.0 7
93 0.0 7
94 0.0 7
95 0.0 7
96 0.0 7
97 0.0 7
98 0.0 7
99 0.0 8
100 0.0 8
101 0.0 8
102 0.0 8
103 0.0 8
104 0.0 8
105 0.0 8
106 0.0 8
107 0.0 8
108 0.0 8
109 0.0 8
110 0.0 8
111 0.0 8
112 0.0 8
113 0.0 8
114 0.0 8
115 0.0 8
116 0.0 8
117 0.0 8
118 0.0 8
119 0.0 8
120 0.0 8
121 0.0 8
122 0.0 8
123 0.0 8
124 0.0 8
125 0.0 8
126 0.0 8
127 0.0 8
128 0.0 8
129 0.0 8
130 0.0 8
131 0.0 8
132 0.0 8
133 0.0 8
134 0.0 8
135 0.0 8
136 0.0 8
137 0.0 8
138 0.0 8
139 0.0 8
140 0.0 8
141 0.0 8
142 0.0 8
143 0.0 8
144 0.0 8
145 0.0 8
146 0.0 8
147 0.0 8
148 0.0 8
149 0.0 8
150 0.0 8
151 0.0 8
152 0.0 8
153 0.0 8
154 0.0 8
155 0.0 8
156 0.0 8
157 0.0 8
158 0.0 8
159 0.0 8
160 0.0 8
161 0.0 8
162 0.0 8
163 0.0 8
164 0.0 8
165 0.0 8
166 0.0 8
167 0.0 8
168 0.0 8
169 0.0 8
170 0.0 8
171 0.0 8
172 0.0 8
173 0.0 8
174 0.0 8
175 0.0 8
176 0.0 8
177 0.0 8
178 0.0 8
179 0.0 8
180 0.0 8
181 0.0 8
182 0.0 8
183 0.0 8
184 0.0 8
185 0.0 8
186 0.0 8
187 0.0 8
188 0.0 8
189 0.0 8
190 0.0 8
191 0.0 8
192 0.0 8
193 0.0 8
194 0.0 8
195 0.0 8
196 0.0 8
110 0.45363960129793124 8
48 0.4599434891866186 7
111 0.4611520837278795 8
132 0.46270075086878854 8
166 0.46331706320076604 8
168 0.4642966201675383 8
161 0.4699164540283394 8
184 0.47095436504236843 8
14 0.47491702813484854 7
3 0.4783679368065698 7
196 0.4796868397025221 8
2 0.4800546775909353 7
94 0.4816863456547768 7
136 0.48341145256105494 8
25 0.48395506902150665 7
8 0.4844660854104796 7
55 0.4854230735037879 7
13 0.4880389087624479 7
97 0.48849649423273556 7
187 0.49070534987936365 8
126 0.49178889315773905 8
154 0.4921574449696927 8
157 0.4936367948288045 8
99 0.49578503966745924 8
87 0.4962656744464123 7
4 0.496324463976888 7
63 0.49691673755935767 7
189 0.503074052271699 8
7 0.5041986032218844 7
105 0.5049553124653657 8
144 0.5080928295768493 8
47 0.508409296968701 7
149 0.5091585040310563 8
93 0.5096892670814527 7
124 0.5124412703711326 8
130 0.5126793874381798 8
